entity_type,entity_id,entity_name,latitude,longitude,routing_node_id,snap_distance_m
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjE0ODEjODEjJDEjJDIjJDgz,서울우리병원,36.8242886,127.1234641,3020074403,23.990207667122668
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNjEjJDEjJDgjJDgz,신도시이진병원,36.7897081,127.1073518,2882699600,80.71545669626967
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,혜성산부인과병원,36.8008489,127.1304632,3020095104,23.082901722971346
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDAjJDgz,두정이진병원,36.8261086,127.1305984,3020095203,36.15954993434731
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,천안21세기병원,36.836574,127.1379086,3020122901,28.75843327308704
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz,서울대정병원,36.8115949,127.1080081,3020037102,103.6413848110375
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,천안센텀정형외과신경외과병원,36.7974301,127.1057821,2881889316,51.88035098457822
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,SG삼성조은병원,36.8188843,127.109134,3020036401,110.54111540112305
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz,이화병원,36.7942423,127.1255011,3020001002,25.133831747673
emergency_hospital,A2100022,의료법인박애의료재단박애병원,36.99308383421509,127.08907896026508,2140841400,33.45719667815817
emergency_hospital,A2100028,의료법인백송의료재단굿모닝병원,36.99057342,127.1204637,2141109600,40.14259807637042
emergency_hospital,A2100045,경기도의료원안성병원,37.01736702955601,127.26033944589189,2319197100,120.73188297234259
emergency_hospital,A2100255,성심중앙병원,36.98400219,126.92773248728592,2140039213,26.03996930404046
emergency_hospital,A2100305,안성성모병원,37.00610345894585,127.2708442991513,2319171000,120.54862478717949
emergency_hospital,A2100309,의료법인갈렌의료재단박병원,37.0482647,127.0570038575,2140076204,73.38447416809174
emergency_hospital,A2113246,의료법인양진의료재단평택성모병원,37.008809910565546,127.07371568769604,2140946000,78.39454543983429
emergency_hospital,A2300013,의료법인 건명의료재단 중앙제일병원,36.85848747628605,127.44050791116804,2790246201,16.039856963878307
emergency_hospital,A2302011,재단법인베스티안재단베스티안병원,36.6364279,127.3216412,2710206803,91.23570930813891
emergency_hospital,A2400001,학교법인동은학원순천향대학교부속천안병원,36.8023585,127.1356668,3010316700,51.87253902701249
emergency_hospital,A2400002,단국대학교의과대학부속병원,36.84295215169462,127.17327537305154,3010094002,209.08379102916777
emergency_hospital,A2400004,의료법인 예당의료재단 예산종합병원,36.69111403683895,126.83810397105952,2980072217,197.37598902321656
emergency_hospital,A2400005,충청남도천안의료원,36.775359921186194,127.17992025598448,3010095901,201.17154583927405
emergency_hospital,A2400012,의료법인영서의료재단천안충무병원,36.79739687904163,127.1315782043232,3020373800,28.080658110396424
emergency_hospital,A2400015,예산명지병원,36.71373026149238,126.83416958942117,2980404700,70.68653007474427
emergency_hospital,A2400039,현대병원,36.78311829920936,127.00097027728452,2882255100,24.58907901296196
emergency_hospital,A2402257,아산충무병원,36.77929250489765,127.0199488549524,2882023703,52.59824177407756
emergency_hospital,A2402812,나은필병원,36.81915027,127.1593264,3010079502,27.00343316173199
