seed,station_id,station_name,baseline_mean_wait_time_min,incremented_mean_wait_time_min,mean_wait_improvement_min,p95_wait_improvement_min,mean_response_improvement_min,waited_event_reduction,event_count
123,EMS009,두정119안전센터,0.042411049017701555,0.042411049017701555,0.0,0.0,0.00012724871024882844,0,20773
123,EMS010,불당119안전센터,0.042411049017701555,0.038588007113809185,0.00382304190389237,0.0,0.046345401163779165,41,20773
123,EMS011,서부119안전센터,0.042411049017701555,0.041248810776992655,0.0011622382407089002,0.0,0.020042190199984766,22,20773
123,EMS012,성거119안전센터,0.042411049017701555,0.04132211822512949,0.0010889307925720654,0.0,0.009104943549747446,5,20773
123,EMS013,성환119안전센터,0.042411049017701555,0.03566426621091348,0.006746782806788074,0.0,0.03578559870430986,24,20773
123,EMS014,쌍용119안전센터,0.042411049017701555,0.042411049017701555,0.0,0.0,0.0,0,20773
123,EMS015,입장119안전센터,0.042411049017701555,0.040092783126878605,0.00231826589082295,0.0,0.010474309102085577,6,20773
123,EMS016,직산119안전센터,0.042411049017701555,0.03635696818793316,0.006054080829768396,0.0,0.03636314416795372,27,20773
2026,EMS001,119구조구급센터119안전센터,0.04298383225460305,0.042969817405013044,1.401484959000221e-05,0.0,0.0010657145298509363,1,20666
2026,EMS002,독립119안전센터,0.04298383225460305,0.03909949419157777,0.0038843380630252736,0.0,0.017805924131850226,19,20666
2026,EMS003,병천119안전센터,0.04298383225460305,0.04196278233885149,0.001021049915751554,0.0,0.02612457380471067,4,20666
2026,EMS004,북면지역대,0.04298383225460305,0.04273592964911415,0.00024790260548889637,0.0,0.004076227533102106,1,20666
2026,EMS005,성남지역대,0.04298383225460305,0.04179559476863965,0.0011882374859633962,0.0,0.0050903824316703705,3,20666
2026,EMS006,청당119안전센터,0.04298383225460305,0.03920090115457026,0.003782931100032784,0.0,0.04750742302355615,62,20666
2026,EMS007,풍세119안전센터,0.04298383225460305,0.027362885642429138,0.015620946612173909,0.0,0.02375421217378726,22,20666
2026,EMS008,119구조구급센터119안전센터,0.04298383225460305,0.0400221093770012,0.0029617228776018453,0.0,0.02345610075532001,17,20666
2026,EMS009,두정119안전센터,0.04298383225460305,0.04298383225460305,0.0,0.0,6.395377571877248e-05,0,20666
2026,EMS010,불당119안전센터,0.04298383225460305,0.03966210111079498,0.003321731143808064,0.0,0.04615646194075218,39,20666
2026,EMS011,서부119안전센터,0.04298383225460305,0.04089738209937342,0.0020864501552296244,0.0,0.021871886356660042,31,20666
2026,EMS012,성거119안전센터,0.04298383225460305,0.041628514728790894,0.0013553175258121525,0.0,0.00968274419550319,5,20666
2026,EMS013,성환119안전센터,0.04298383225460305,0.03715474211688352,0.005829090137719525,0.0,0.036849108196586045,22,20666
2026,EMS014,쌍용119안전센터,0.04298383225460305,0.04298322001632245,6.122382805937021e-07,0.0,6.122382805173743e-07,1,20666
2026,EMS015,입장119안전센터,0.04298383225460305,0.042099336746444706,0.0008844955081583408,0.0,0.0039507883734373195,4,20666
2026,EMS016,직산119안전센터,0.04298383225460305,0.03775133973131085,0.0052324925232921995,0.0,0.03514348049011318,24,20666
